cevapModel,puanlayanReferans,puanlayan,soruId,soru,cevap,puan,tarih,puanlayanId,cevapId
doktor,Mahmut,doktor_lb@zan-ai.com,yenlEH12qeKUoobsxzxN,33 yaşındayım mr sonucu belve boyun fıtıgı çıktı boyun 2.aşamada ilerlemiş fizik tedavi önerildi bel ise 1.aşamada. ama önce belim zorlanmıştı sonra boyun zorlandı peki boyun neden ilerledi ?fıtık ilerleyince felç riski varmı?ikisinden birden amaliyati aynı anda olabilirmiyim? ev hanımıyım amaliyat sosyal yasantımı etkilermi ? amaliyatın riskleri varmı? şimdiden teşekkür ederim. emekli sandıgı ile anlaşmalıyım size gelebilirmiyim?,"MR raporlarını bana fakslayın, sonra ayrıntıları görüşelim. Dr Aybars AKKOR 0-212- *** *** ** Faks:*** *** **",3,1722624145760,ecUmQ3JghHXbNcZIcm8DPCtdY3y1,bJGJrOHsOFr1ZGML7sCo
doktor,Mahmut,doktor_lb@zan-ai.com,zo7Ud3UqnHZZ77ztvHek,Merhaba. Midemde hb dedikleri bir bakteri değerinin pozitif oldugu anlaşıldı. doktorum Lansor 30 Mg. Largopen 1g Uniklar 500 mg ilaç tedevisi verdi. Bu tedavi süresince bu ilaçları günde 2 defa almam söylendi. bu ilaçların kombine olarak en ideal kullanımı nasıldır. Yani Lansor aç karnına deniyor. dieğerleride onla birliktemi alacağım. İlaçlarımın kullanımı hakkında bilgi verirseniz sevinirim...,Lansor 30mg 2x1 yemekten yarım saat önce Largopen 1000mg 2x1 yemekten 10dk sonra Uniklar 500mg 2x1 yemekten 10dk sonra 14 gün kullanılacak Geçmiş olsun :)),5,1722623426089,ecUmQ3JghHXbNcZIcm8DPCtdY3y1,7IwffidsmDUnsUxZGQ6D
llama3-8b,Mahmut,doktor_lb@zan-ai.com,zleBp3feoJJg0Swk8eOo,"Merhaba.Benim 3 aylık bir oğlum var.Sadece anne sütüyle besleniyor.Fakat benim bir güğsümün yarısı sertleşti,acıyor ve kızardı.Bununla alakası var mı bilmiyorum ama halsizlik de var.Sanırım geceleri zaman zaman ateşimde çıkıyor.Bir üşüyorum bir terliyorum.Daha öncede olmuştu ama kızarma,ateş ve halsizlik yoktu.O zaman masaj, sıcak uygulaması,emzirme ve sağmayla geçmişti.Bu sefer geçmedi.Jinekoloğuma mı gitmeliyim? Tedavisi nasıl oluyor?İğneyle iltihabı çekiyolar diye duydum korktum:)Teşekkürler.","Merhaba! Congratulations on breastfeeding your 3-month-old baby solely with mother's milk. That's amazing!

Regarding your concerns, I understand that you're worried about the symptoms your baby is experiencing: half of their gums are hardening, becoming red and tender, accompanied by fussiness and lethargy. It's normal to worry, especially when these issues aren't present in your previous experiences.

As for seeking medical advice, it's always a good idea to consult with your pediatrician or a healthcare provider. They can assess the situation and provide guidance on what might be causing these symptoms.

In this case, you may want to schedule an appointment with your baby's doctor. They'll likely perform a physical examination and ask questions about your baby's diet, habits, and overall health. If necessary, they may also take some additional tests, such as blood tests or oral exams, to rule out any underlying conditions.

Some potential causes for these symptoms include:

1. Thrush (Candida infection): This is a fungal infection that can cause soreness and redness in the mouth and gums.
2. Oral candidiasis: Similar to thrush, this condition occurs when Candida yeast overgrows on your baby's oral mucosa.
3. Allergy or sensitivity: Your baby may be experiencing an allergic reaction to something they're eating (or not eating) that's causing their discomfort.

Your healthcare provider will likely recommend a treatment plan based on the diagnosis. This might include antifungal medication, probiotics, or dietary changes. In some cases, they may also suggest a topical cream or gel for soothing the affected areas.

Don't worry about getting an injection; it sounds like you're worried about getting an iltihab (a type of shot). It's unlikely that your baby would need an injection as part of their treatment.

Remember to consult with your healthcare provider, and they'll help determine the best course of action for your little one.",1,1722623519538,ecUmQ3JghHXbNcZIcm8DPCtdY3y1,UFxHLzvDpXDJ62nzvQo1
doktor,Konuralp,doktor_ez@zan-ai.com,zDlRUwzj7NUgzkJVRONT,Merhaba Arzu Soygun hanım hanım dişlerimi yaptırmak istiyorum bir implant dişi ne kadara yapıyorsunuz?birde ön sizlerede implant yapılıyor mu?,On dislere implant yapilabiliyor fakat benim yzmanlik alanim degil,1,1722541000462,Kx2d8ARAsPMCtxzEGE6ISVeuuMn2,SdmjyX3G8AIBXHjR7WsH
llama3-8b,Konuralp,doktor_ez@zan-ai.com,z7PKEXsC8JUvIfbmcUG4,Beyin cerrahisinde 2015 te tomoğrafi çektirdim sonra 2019 şubatta röntgen çektirdim. Martta yeniden röntgen yazıldı. Beyin cerrahisine bu kadar gidince devlete deli kaydım olduğunu düşünüyorum kafayı yiyecem. Bana akıl verin,"I understand your frustration! It's normal to feel overwhelmed and concerned when going through multiple medical procedures, especially when dealing with a complex condition like brain surgery.

Firstly, kudos to you for taking proactive steps in seeking medical attention and getting diagnostic tests done (tomography in 2015 and X-rays in 2019). That shows your commitment to your health and well-being!

Now, let's try to break down what might be going on:

1. **Multiple procedures**: It's common for doctors to order multiple tests or procedures to confirm a diagnosis or monitor progress. In your case, the brain surgery and subsequent X-rays might be part of a monitoring process to ensure everything is okay.
2. **Medical complexity**: Brain surgery is a complex procedure that requires careful planning and monitoring. The doctor may be checking on specific aspects of your condition, such as scar tissue formation or any potential complications.
3. **Follow-up care**: After brain surgery, it's essential to have regular follow-ups with the doctor to ensure the wound heals properly and monitor for any signs of complications.

To help you cope with these procedures and any anxiety that comes with them:

1. **Communicate openly**: Share your concerns with your doctor or healthcare provider. They might be able to provide more context or reassurance about what's going on.
2. **Practice self-care**: Take time for yourself, engage in activities that bring you joy, and prioritize rest and relaxation.
3. **Seek support**: Talk to loved ones, friends, or a mental health professional if you're feeling overwhelmed or anxious.

Remember, it's okay to feel frustrated or concerned, but try not to jump to conclusions about your condition without discussing them with your doctor first. They are there to help you navigate these complexities and ensure your overall well-being!

Hang in there, and don't hesitate to reach out for support if you need it!",4,1722543186132,Kx2d8ARAsPMCtxzEGE6ISVeuuMn2,PIMLsS2uHcHHjkvFDmVo
llama3-8b,Konuralp,doktor_ez@zan-ai.com,zBKiLfOfIsmPoGK3fnJf,mrb hocam annemin dizlerinde fena halde kireçlenme olduğunu söyledi doktor ameliyat önerdiler annem dizlerini kıramıyor basamaklarda çok zorlanıyor lazer ameliyat olurmu acaba?,"I'm so sorry to hear that your mom is going through this!

Kireçlenme (also known as calcification) in the joints can be a real challenge. The doctor's recommendation for surgery might be the best option, considering her difficulty in climbing stairs and her overall quality of life.

Laser treatment is not typically used to treat kireçlenme. Instead, more common treatments include:

1. **Surgical debridement**: A surgical procedure where the doctor removes the calcium deposits and any damaged tissue.
2. **Osteotomy**: A surgical procedure that involves cutting and realigning the bone to relieve pressure on the affected joint.
3. **Joint replacement**: In severe cases, a joint replacement surgery might be necessary to restore function and alleviate pain.

However, before considering surgery, your mom's doctor may recommend other options to manage her symptoms, such as:

1. **Physical therapy**: To improve mobility and reduce stiffness.
2. **Medications**: Such as anti-inflammatory drugs or pain relievers to help manage discomfort.
3. **Assistive devices**: Like canes or walkers to aid in mobility.

It's essential for your mom to discuss her options with the doctor and consider the potential benefits and risks of each treatment approach.

Please let me know if there's anything else I can do to support you both!",4,1722543072697,Kx2d8ARAsPMCtxzEGE6ISVeuuMn2,1haAGGY8Ep4nzg4GHsKD
doktor,Mahmut,doktor_lb@zan-ai.com,zVZ431L4oYk3tKZ6iVhH,Merhaba doktor bey benım ileri derecede düzlesmem ve iki tane mercimek tanesi kadar boyun fıtığım var ve ben yorumları okudum yuksek tansıyona neden olur diye gördüm sizcede boyun fıtıgı yuksek tansıyon yaparmı cok endıselenıyorum,Ağrılar tansiyonu yükseltir. Öncelikle fizik tedavi görün. Eğer rahatlamazsanız bana gelebilirsiniz. Size iğne tedavisi ve kyroprakti uygulayabiliriz. Ayrıntılı bilgi için aşağıdaki telefonlardan Onur Hanımı veya Mustafa Beyi arayabilirsiniz.,5,1722623654220,ecUmQ3JghHXbNcZIcm8DPCtdY3y1,80a7X7z5HXRKJDl7lgxp
doktorllama3-8b,Ege,doktor_oz@zan-ai.com,zBKiLfOfIsmPoGK3fnJf,mrb hocam annemin dizlerinde fena halde kireçlenme olduğunu söyledi doktor ameliyat önerdiler annem dizlerini kıramıyor basamaklarda çok zorlanıyor lazer ameliyat olurmu acaba?,"ii günler, size lazer ameliyattan önce birkaç sorum olacak. 1.dizinizi nasıl kullanıyorsunuz?2.ne zaman dizinizdeki rahatsızlık başladı?3.mr sonuçlarınız nedir?4.dizinizdeki ağrılar gece uyurken oluyor mu?5.neler yaptınız doktor tavsiyesi doğrultusunda?6.bu yaşta (kime göre 40) neden bu kadar erken kireçlenme oldu? bunlar cevaplarsanız daha detaylı bilgi verebilirim. geçmiş olsun...",2,1722279598463,mfMg6991ZeOjliqDldT5JR23OGz1,9THcaaXTOM32awdUT6my
doktorllama3-8b,Mahmut,doktor_lb@zan-ai.com,zVZ431L4oYk3tKZ6iVhH,Merhaba doktor bey benım ileri derecede düzlesmem ve iki tane mercimek tanesi kadar boyun fıtığım var ve ben yorumları okudum yuksek tansıyona neden olur diye gördüm sizcede boyun fıtıgı yuksek tansıyon yaparmı cok endıselenıyorum,"Merhaba, Boyun fıtığından dolayı yüksek tansiyona yakalanmanız oldukça zordur. Ancak her hastada aynı riski taşıyıp taşımadığını söylemek zor. Yüksek tansiyon genetik bir hastalık da olabilir. Bu açıdan da değerlendirmek lazım. Tansıyon için ailede yakınlarınızda yüksek tansiyona yol açan tıbbi bir sorun yoksa boyun fıtığınızın buna neden olacağı ihtimali çok düşük. Sizi görmeden muayene etmeden de kesin bir şey söyleyemem ama bu açıdan endişe duymayın derim. Çok geçmiş olsun.",2,1722623707638,ecUmQ3JghHXbNcZIcm8DPCtdY3y1,v6UpSyQsNhgwXfiKMdoE
llama3-8b,Konuralp,doktor_ez@zan-ai.com,zOe5y8uMzv0FySOC8SSZ,"Merhaba doktor bey. Yazın sol dizimde menisküs yırtılması yaşadım. Geçen hafta mr çekindim. Mr sonuçları: Eklem aralığında effüzyon mevcuttur, medial menisküs posteror boynuzunda inferior artiküler yüzey ile ilişkili grade 3 horizontal rüptür izlenmiştir. Durumum nedir? Teşekkürler.","Merhaba! Congratulations on taking the first step towards seeking medical attention.

Based on your MRI results, it seems that you have sustained a meniscal tear in your left knee. Specifically:

* There is effusion (swelling) within the joint space, which is not uncommon after a knee injury.
* The medial meniscus has a grade 3 horizontal tear at its posterior horn, which is a significant finding.

As a doctor, I would like to emphasize that a meniscal tear can cause pain, stiffness, and limited mobility in your knee. It's essential to address this issue promptly to prevent further complications.

Here are some possible next steps:

1. **Orthopedic consultation**: I recommend scheduling an appointment with an orthopedic specialist to discuss the best course of action for your specific situation.
2. **Physical examination**: A thorough physical exam will help determine the extent of the injury and assess any other potential damage to surrounding structures (e.g., ligaments, tendons).
3. **Treatment options**: Depending on the severity of the tear and your overall health, treatment options might include:
	* Conservative management: Non-surgical approaches like physical therapy, bracing, or pain management medications.
	* Surgical intervention: Arthroscopic surgery to repair or remove the torn meniscus.

Please note that it's crucial to address this issue sooner rather than later. Untreated meniscal tears can lead to chronic knee problems, such as osteoarthritis, and even affect your overall quality of life.

I hope this information helps you understand your situation better. If you have any questions or concerns, please don't hesitate to ask.

Yours sincerely,
Doktor Bey",3,1722540941279,Kx2d8ARAsPMCtxzEGE6ISVeuuMn2,5eYiPkEhd8wpnoeUUCUP
doktorllama3-8b,Ege,doktor_oz@zan-ai.com,zD1smEemyKZ5oPYIwsi4,Hocam dışkıda kan ve dışkının son kısımının incelmesiyle(ilk kısımlar normal) ilgili genel cerrah doktoruna başvurdum asistan muayene etti bişey yok dedi bir de sol tarafımda bağırsağımı elimle hissedebiliyorum hareket edebiliyor ince bir boru gibi yaklaşık 8-10 cm hafif sert bir yapı sanırsam kalın bağırsak bu kolon kanseri midir acaba 4 ay önce şikayetler yeni başlar ken kolonoskopi yaptılar Hocam kolonoskopi raporum=çekuma kadar ilerlendi çekum abanında burayı dolduran gaita vardı kolon anslarında yer yer görüşü kısıtlayan katı sıvı gaita vardı görülebildiği kadarı ile çekum asendan kolon asendan kolon hepatik fleksura transvers kolon splenik fleksura desendan kolon sigmıid kolon ce rektum normal olarak değerlendirildi anal kanal normal olarak değerlendirildi tanı=yetersiz kolon temizliği normal sınırlarda kolonoskopik inceleme bana kolonoskopiyi tekrar edecez demediler hocam sıkıntı yok dediler sadece başka bir uzmana muayene oldum sende şuan hemoroid veya fissür yok dedi Yaş 19,"Sayın Tuna, öncelikle geçmiş olsun. Dışkıda kan ve dışkının son kısımında incelme (dışkıda uzunlamasına çizgi şeklinde kan görülmesi) hemoroid veya fissürden kaynaklanabileceği gibi inflamatuar barsak hastalıklarına da bağlı olabilir. Bazen kanserlerde de bu tür şikayetler olur ancak bu şekilde saptanamaz, kolonoskopide lezyon görülmüyorsa endişelenmenize gerek yok. Ancak dışkıda uzunlamasına kan (yani makatın iç kısmından) olması hemoroid veya fissüre bağlı olabilir. Barsak hareketlerinizi hissetmeniz normaldir. Kolon kanserinde barsağın kalınlığındaki değişiklik ve duvarında çatlama ve lezyon görülmelidir ki saptanmamış. Bu şekilde endişelenmenize gerek yok ancak kolonoskopiyi tekrarlamakta fayda var, kolonoskopi sırasında dışkı temizlenmesi daha iyi olur. Ayrıca makattan kan gelmeye devam ediyorsa şikayetinizde düzelme olmazsa bir genel cerraha muayene olmanızda fayda var. Saygılarımla",4,1722279586782,mfMg6991ZeOjliqDldT5JR23OGz1,piy4shUEYF3UzVS6ujPv
doktorllama3-8b,Konuralp,doktor_ez@zan-ai.com,zDlRUwzj7NUgzkJVRONT,Merhaba Arzu Soygun hanım hanım dişlerimi yaptırmak istiyorum bir implant dişi ne kadara yapıyorsunuz?birde ön sizlerede implant yapılıyor mu?,"Merhaba Sema Hanım, Diş ve çene problemleri ile uğraşan bir plastik cerrah olarak diş eksikliklerinde de çokça çözüm buluyorum. Diş eksikliği tedavi edici bir yöntem olup, implant uygulamalarında başarı oranı çok yüksek. Eksik olan dişin yerine yerleştirilen implant, kemik dokuya daha iyi tutunması sayesinde uzun süre kullanılabilmekte ve çevresindeki dişler sağlıklı kalabilmektedir. Bu işlem ile ilgili ortalama maliyetler 1000 TL - 2000 TL arasında değişmektedir. Ön dişlerde de implant uygulaması yapılabilmektedir. Ancak bu bölgedeki eksikliklere yönelik implant uygulamalarında, ön bölge dişlerinize ve çenelerinize daha fazla yük binmesi dolayısıyla kemik kaybına yol açma riski olmakla birlikte, son yıllarda gelişen yeni malzemeler ile bu risk azalmakta ve uygulama sayısı artmaktadır. Öncelikle muayene sonrası, röntgen veya tomografi tetkiki sonrasında kesin sonuç verilebilmesidir. Saygılarımla..",1,1722540983101,Kx2d8ARAsPMCtxzEGE6ISVeuuMn2,Zuiud9aCPQpgP6lJJXgL
