soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
Aşağıdakilerden hangisi Stafilokoklar'ın konak hücre fibronektinine bağlanmasını sağlar?,D,,Lipoprotein,Lipit A,Lipopolisakkarit,Teikoik asit,Peptidoglikan tabaka,,tipakademi.json,
"Bakteriye ait yapılardan hangisi protein yapıda olup, insan için immünojenik özellik gösterir?",A,"Flagella, protein yapıda olup, bakterilerin hareketi ile ilişkili virülans faktörüdür. Mezozom, sitoplazmik membranın hücre içerisine doğru yaptığı girintiye verilen isimdir. Teikoik Asit, sadece gram pozitiflerde bulunan, bakterinin konak hücreye tutunmasını sağlayan, faj için reseptör görevi gören, ribitol ve gliserol fosfat polimerlerinden oluşan majör antijenik determinanttır. Soma tik O antijeni, gram negatif bakterilerde bulunup, bakterinin gruplandırılmasını sağlar (örnek gram negatif enterik basiller). Endotoksin, sadece gram negatifte bulunur. LPS'nin Lipid A komponenti endotoksik aktiviteden sorumludur. Bütün gram negatiflerde aynı özelliktedir.",Flagella,Mezozom,Teikoik asit,Somatik O antijeni,Endotoksin,,tipakademi.json,
"Protein yapıda olup, bakterinin hareketi ile ilişkili organel hangisidir?",A,,Flagella,Mezozom,Teikoik asit,Somatik O antijeni,Endotoksin,,tipakademi.json,
Bakterilerin fagositozdan korunmasında etkili olan yapı aşağıdakilerden hangisidir?,D,"Kapsül, genellikle polisakkarid yapıda olup, temel işlevi bakteriyi fagositoza karşı korumaktır. Kapsül varlığı Çini mürekkebi, Kapsül şişme deneyi ya da Lateks testi ile araştırılabilir. Örneğin Pnömokok'lar Quellung reaksiyonuna göre 90'ın üzerinde serotipe ayrılırlar. Kapsüllü mikroorganizmalara karşı vücudun geliştirdiği savunma sistemi opsonizasyon­ dur. lgG ve C3b temel opsonizanlardır. lgG üretiminde Dalak çok önemli bir organ olması nedeniyle Splenektomili ya da Orak Hücreli Anemili kişiler (otoenfarktlara bağlı meydana gelen otosplenektomi nedeni ile) Pnömokok, Meningokok, H.influenzae tip b gibi kapsüllü bakterilere duyarlı hale gelmişlerdir.",Sitoplazmik membran,Pili,Flagella,Kapsül,Dış membran,,tipakademi.json,
Pnömokok'ların fagositozdan kaçmasına neden olan polisakkarid yapılı virülans faktörü aşağıdakilerden hangisidir?,D,,Sitoplazmik membran,Pili,Flagella,Kapsül,Dış membran,,tipakademi.json,
Bakterilere ait aşağıdaki yapılardan hangisinin varlığı Quellung reaksiyonu ile araştırılır?,D,,Sitoplazmik membran,Pili,Flagella,Kapsül,Dış membran,,tipakademi.json,
Splenektomili hastalarda bakteriyel enfeksiyonların daha ağır seyretmesi öncelikle hangi bakteriyel yapı ile ilişkilidir?,D,,Sitoplazmik membran,Pili,Flagella,Kapsül,Dış membran,,tipakademi.json,
Aşağıdakilerden hangisinin yapısında aksiyel filaman bulunmaktadır?,E,"Spiroket grubu bakteriler (Treponema, Borrelia, Leptospira) aksiyel filamanları sayesinde özel bir burgumsu harekete sahiptirler. Versinia ve Listeria grubu bakteriler oda ısısında hareketli olmalarına karşın insan vücudunda hareketsizdirler. Bu iki bakteri psikrofil olması yani soğuğu sevmesi nedeni ile tanımlanmalarında soğukta zenginleştirme yöntemi kullanılır. Proteus, kanlı agar besiyerine ekildiğinde swarming hareketi ile besiyerinin bütün yüzeyine yayılır. Vibrio cholera için sinek (ok) hareketi tipiktir.",Yersinia enterocolitica,Listeria monocytogenes,Proteus vulgaris,Vibrio cholerae,Borrellia recurrentis,,tipakademi.json,
Aşağıdaki bakterilerden hangisi hareketli olmasına karşın flagella içermez?,E,,Yersinia enterocolitica,Listeria monocytogenes,Proteus vulgaris,Vibrio cholerae,Borrellia recurrentis,,tipakademi.json,
"Aşağıdaki bakterilerden hangisi oda sıcaklığında H antijeni üretirken, insan vücudunda H antijeni üretemez?",B,"Flagella, protein yapılı hareket orga neli olup, H antijeni olarak da isimlendirilir. Versinia ve Listeria grubu bakteriler oda ısısında hareketli olmalarına karşın insan vücudin­ da hareketsizdirler. Bu iki bakteri psikrofil olması yani soğuğu sevmesi nedeni ile tanımlanmalarında soğukta zenginleştirme yöntemi kullanılır. Atriköz Bakteriler: Hareketsiz bakterilerdir. AKİNETObacter, Shigella, Klebsiella atriköz bakterilere örnektir.",Acinetobacter,Listeria monocytogenes,Shigella,Klebsiella,Borellia recurrentis,,tipakademi.json,
Aşağıdaki bakterilerden hangisinin tanımlamasında soğukta zenginleştirme yöntemi kullanılır?,B,,Acinetobacter,Listeria monocytogenes,Shigella,Klebsiella,Borellia recurrentis,,tipakademi.json,
Tüm hücre çevresinde flagella bulunan bakterilere ne ad verilir?,C,,Psikrofil,Halofil,Peritriköz,Monotriköz,Atriköz,,tipakademi.json,
Kapsül yapısı D-glutamik asit polimerlerinden oluşan bakteri aşağıdakilerden hangisidir?,D,,Streptococcus pneumoniae,Neisseriae meningitidis,Enterobacter aerogenes,Bacillus anthracis,Streptococcus pyogenes,,tipakademi.json,
Hemorajik mediastinit vakasında alınan örneğin değerlenirilmesinde peptid yapıda ve Metilen Mavisi ile pembe renkte boyanan kapsüllere rastlanılıyor. En olası etken aşağıdakilerden hangisidir?,D,B.anthracis ... Kapsülü Poli-D-Glutamik asit (peptid) yapıda olan ve pembe boyanan bakteri,Streptococcus pneumoniae,Neisseriae meningitidis,Enterobacter aerogenes,Bacillus anthracis,Streptococcus pyogenes,,tipakademi.json,
Aşağıdaki bakterilerden hangisi peritriköz bakterilere örnektir?,E,"Flagellalarına göre bakteri grupları Atrichous: Flagellasız bakteri (Acinetobacter, Shigella, Klebsiella) Peritrichous: Bütün hücre yüzeyinde çok sayıda flagella taşıyan bakterilerdir. (Escherichia coli, Salmonella, Proteus gibi Enterik bakteriler) Monotrichous: Bir ucunda tek flagellası bulunan bakteri (Pseudomonas, Vibrio cholera, Helicobacter pylori, Campylobacter jejuni) Lofotriköz: Bir veya iki ucunda flagella bulunan bakteri (Stenotrophomonas maltophilia). Amphitrichous: Her iki ucunda birer flagella bulunan bakteri Şıktardaki Diğer Seçenekler ... Psikrofil: Soğuğu seven demektir (Yersinia, Listeria) Halofil: Tuzu seven demektir (S.aureus, Enterokoklar, Kolera dışı Vibrio'!ar)",Acinetobacter,Vibrio cholerae,Klebsiella,Shigella,Escherichia coli,,tipakademi.json,
Mikroorganizmaların dış ortamdan demir yakalayarak hücre içine taşımak için kullandıkları yapılara ne ad verilir?,D,,Tip ili Sekresyon Sistemi,Aksiyel filaman,Flagella,Siderofor,Porin,,tipakademi.json,
Bakterinin virülans faktörlerini konak hücreye aktarmasını sağlayan şırınga benzeri yapılara ne ad verilir?,A,"Siderofor: Bakterinin konak hücreden demiri almasını sağlayan özelleşmiş yapılardır. Tip III Sekresyon Sistemi: Bakterinin virülans faktörlerini konak hücreye aktarmasını sağlayan şırınga benzeri yapılardır. Flagella ve Pilus protein yapılardır. Flagella, hareket ile ilişkili iken; pilus bakteriyi bakteriye (F pilusu) ya da konak hücreye (adi pilus) tutunduran virülans faktörüdür. Aksiye! filaman, Spiroket grubu bakterilerde bulunan ve bakteriye özel bir burgumsu hareket kazandıran virülans faktörüdür.",Tip 111 Sekresyon Sistemi,Aksiye[ filaman,Flagella,Siderofor,Pilus,,tipakademi.json,
Streptococcus pyogenes suşlarında eritrojenik toksin üretimi hangi genetik yapı tarafından sağlanır?,E,,Plazmit,R faktörü,Transpozon,İntegron,Bakteriyofaj,,tipakademi.json,
Difteri toksini aşağıdaki yapılardan hangisi tarafından kodlanır?,E,,Plazmit,R faktörü,Transpozon,İntegron,Bakteriyofaj,,tipakademi.json,
Gram negatif bakterilere bağlı olarak gelişen septik şok tablosunda serum düzeyi ilk yükselen sitokin aşağıdakilerden hangisidir?,C,"İlk yükselen, açlık, kıtlık, ölüm, kaos ile ilişkili olan sitokin hangisidir? .... TNF-alfa",İnterferon gama,interlökin-1,Tümör nekrozis faktör- alfa,Tip 1 interferon,interlökin-1 O,,tipakademi.json,
Schwartzman reaksiyonuna neden olan temel sltokin aşağıdakilerden hangisidir?,C,,İnterferon gama,interlökin-1,Tümör nekrozis faktör- alfa,Tip 1 interferon,interlökin-1 O,,tipakademi.json,
Kolera toksininin etki mekanizması hangisidir?,A,,Gs üzerinden cAMP artışı,Gi üzerinden cAMP artışı,EF-2 inaktivasyonu,Membran hasarı,Veziküllerden ACh salıverilmesinin inhibisyonu,,tipakademi.json,
Pertussis toksininin etki mekanizması hangisidir?,B,,Gs üzerinden cAMP artışı,Gi üzerinden cAMP artışı,EF-2 inaktivasyonu,Membran hasarı,Veziküllerden ACh salıverilmesinin inhibisyonu,,tipakademi.json,
Aşağıdaki mikroorganizmalardan hangisinin ekzotoksini difteri toksinine benzer bir mekanizmayla etki gösterir?,E,"Kolera toksini Gs'yl stimüle ederek, Pertussis toksini de Gi'yi inhibe ederek cAMP'yi artırır. EF-2 İnaktivasyonu: Pseudomonas ve Difteri toksinlerine aittir. Membran Hasarı Veren Toksin örneği C.perfringens alfa toksinidir. Veziküllerden ACh salıverilmesini bloke eden Botulinum toksini, GABA-Glisin salıverilmesini bloke eden de Tetanoz tokslnidir. Bacillus anthracis toksini üç parçadan oluşur: PA, EF, LF. İçlerinden en immünojenik olan ve diğer ikisinin de aktivite gösterebilmesi için gerekli olan PA'dır. EF, cAMP'yi artırarak ödem oluşumuna neden olurken, LF, MAPK aktivitesini azaltarak ölüme neden olur.",Bordatella pertussis,Clostridium perfringens,Bacillus anthracis,Streptococcus pyogenes,Pseudomonas aeruginosa,,tipakademi.json,
Aşağıdaki mikroorganizmalardan hangisinin Toksoid aşısı bulunmaktadır?,E,"Difteri ve Tetanoz aşıları Toksoid aşılardır. Pnömokok, Meningokok, H.influenzae tip b aşıları Kapsüler aşılardır. Kızamık aşısı canlı aşıdır. HPV aşısı ise rekombinan aşıdır.",Pnömokok,HPV,Kuduz,Kızamık,Tetanoz,,tipakademi.json,
Aşağıdakilerden hangisi A-B modeli toksin değildir?,C,"Kızıl toksini, A-B modeli toksin olmayıp; süper antijen özelliğindedir. Süper Antijen'ler Antijen Sunan Hücre'nin MHC-I1'sine, T Lenfositler'in TCR'sinin Vbeta'sına bağlanarak poliklonal T Lenfosit aktivasyonuna neden olur ve aşırı miktarda sitokin ortama salıverilir (sitokin fırtınası).",Kolera toksini,Tetanoz toksini,Kızıl toksini,Botulinum toksini,Difteri toksini,,tipakademi.json,
Aşağıdakilerden hangisi Süper Antijen özelliğindedir?,C,,Kolera toksini,Tetanoz toksini,Kızıl toksini,Botulinum toksini,Difteri toksini,,tipakademi.json,
Aşağıdaki toksinlerden hangisi antijen sunan hücrenin MHC-11'sine bağlanır?,C,,Kolera toksini,Tetanoz toksini,Kızıl toksini,Botulinum toksini,Difteri toksini,,tipakademi.json,
Aşağıdaki toksinlerden hangisi T Lenfositler'in TCR'sinin Vbeta bölgesine bağlanır?,C,,Kolera toksini,Tetanoz toksini,Kızıl toksini,Botulinum toksini,Difteri toksini,,tipakademi.json,
Aşağıdaki toksinlerden hangisi poliklonal T lenfosit aktivasyonu ile sitokin fırtınasına neden olur?,C,,Kolera toksini,Tetanoz toksini,Kızıl toksini,Botulinum toksini,Difteri toksini,,tipakademi.json,
Aşağıdaki bakterilerden hangisi sahip olduğu endotoksin aracılığı ile komplemanı alternatif yoldan aktive edebilmektedir?,E,"Üç soru tek cevap ... Endotoksinler, sadece gram negatiflerde bulunur. Endotoksinler, komplemanı alternatif yoldan aktive ederler. Eğer bir bakteri hem kanlı hem de EMB agarda üreyebiliyorsa gram negatiftir.",Enterococcus faecium,Staphylococcus aureus,Bacillus anthracis,Nocardia asteroides,Escherichia coli,,tipakademi.json,
Aşağıdaki bakterilerden hangisi gram negatiftir?,E,,Enterococcus faecium,Staphylococcus aureus,Bacillus anthracis,Nocardia asteroides,Escherichia coli,,tipakademi.json,
Aşağıdaki bakterilerden hangisi hem kanlı agarda hem de EMB agarda üreyebilir?,E,,Enterococcus faecium,Staphylococcus aureus,Bacillus anthracis,Nocardia asteroides,Escherichia coli,,tipakademi.json,
Bakterilerin antibiyotiklerin etkisine en duyarlı olduğu üreme dönemi aşağıdakilerden hangisidir?,D,"Logaritmik üreme dönemi ya da Eksponansi-yal dönem, bakterilerin boyutlarının en küçük olduğu ve antibiyotiklerin etkilerine en duyarlı oldukları dönemdir.",Lag fazı,Duraklama fazı,Ölüm fazı,Logaritmik büyüme evresi,Üremenin başlangıcı,,tipakademi.json,
"Aşağıdaki bakteri gruplarından hangisi sadece sülfatları, nitratları son elektron alıcısı olarak kullanır?",B,"Zorunlu anaerob: Son elektron alıcısı olarak sülfatları, nitratları kullanır. Zorunlu aerob: Çoğalmak için oksijene ihtiyacı vardır. Son elektron alıcısı olarak oksijeni kullanır. Fakültatif anaerob: Son elektron alıcısı olarak hem oksijeni, hem de sülfatları, nitratları kullanır. Psikrofllik Bakteriler: Yersinia, Listeria gibi soğuğu seven bakterilerdir. Halofilik Bakteriler: Tuzu seven bakterilerdir (S.aureus, Enterokoklar, Kolera dışı Vibrio'lar halofilik bakterilerdir).",Zorunlu aerob,Zorunlu anaerob,Mikroaerofilik,Psikrofilik bakteriler,Halofilik bakteriler,,tipakademi.json,
ısı ve radyasyon ile cerrahi aletlerin sterilizasyonu yapılamadığı durumlarda aşağıdakilerden hangisi kullanılır?,A,,Etilen oksit,Alkol,Hekzaklorofen,Gümüş nitrat,Klor,,tipakademi.json,
Otoklava giremeyen tıbbi cihazların sterilizasyonu için hangi yöntem uygulanmalıdır?,A,"ısıya duyarlı tıbbi araçların sterilizasyonunda kullanılan yöntemler ... Etilen oksit (altın standart), membran filtrasyonu (ısıya duyarlı sıvılardan bahsediyorsa)",Etilen oksit,Alkol,Hekzaklorofen,Gümüş nitrat,Klor,,tipakademi.json,
Aşağıdaki sterilizasyon yöntemlerinden hangisinde sıvı içindeki proteinler korunur?,C,,Pastörizasyon,Ultraviyole,Zar ile filtrasyon,Kuru ısı,Otoklav,,tipakademi.json,
Aşağıdaki bakterilerden hangisinin hücre duvarı bulunmamaktadır?,C,"Hücre duvarı olmayan Mycoplasma, Ureoplasma, L form bakteriler, bakteri filtrelerinden kolaylıkla süzülebilmektedir.",Klamidya - Leptospira,Ureoplazma - Streptokoklar,Mikoplazma - L Form,Riketsiya - Yersinia,Borrelia - Treponema,,tipakademi.json,
Aşağıdaki bakteri çiftlerinden hangileri zar filtrelerden süzülebilir?,C,,Klamidya - Leptospira,Ureoplazma - Streptokoklar,Mikoplazma - L Form,Riketsiya - Yersinia,Borrelia - Treponema,,tipakademi.json,
Aşağıdakilerden hangisi sterilizasyona en dayanıklı canlı grubudur?,E,,Zarflı virüsler,Vejetatif bakteriler,Sporlu bakteriler,Zarfsız Virüsler,Prionlar,,tipakademi.json,
Aşağıdakilerden hangisi sterilizasyona en duyarlı canlı grubudur?,A,Dezenfeksiyona/ Sterilizasyona en duyarlı canlı grubu Zarflı virüsler iken; en dayanıklı canlı grubu Prionlar'dır.,Zarflı virüsler,Vejetatif bakteriler,Sporlu bakteriler,Zarfsız Virüsler,Prionlar,,tipakademi.json,
Endoskopların temizliğinde kullanılan yüksek düzey dezenfektan aşağıdakilerden hangisidir?,E,Endoskopların yüksek düzey dezenfeksiyonunda %2'lik Gluteraldehit kullanılmaktadır.,Fenolikler,Kuarterner amonyum bileşikleri,İyodofor,Alkol,Gluteraldehit,,tipakademi.json,
"Rutin çocukluk aşıları yapılmamış olan 14 aylık bir bebek; yüksek ateş, dalgınlık ve ense sertliği şikayetleriyle acil servise getiriliyor. BOS'un mikroskobik incelemesinde küçük, gram negatif sadece çikolata agarda üreyen basiller gözleniyor. Bu hastadaki en olası etken aşağıdakilerden hangisidir?",D,"Üremek için hem X hem de V faktöre ihtiyacı olan, bu nedenle Çikolata Agar'da üretilen gram negatif basil. .. Haemophilus influenzae'dır.",Escherichia coli,Neisseria meningitidis,Streptococcus pneumoniae,Haemophilus influenzae tip b,Klebsiella pneumoniae,,tipakademi.json,
Beyin absesi olan bir hastanın abse drenaj örneği modifiye aside dirençli boyama yöntemi ile boyandığında pembe-kırmızı renkte boyanan basillere rastlanmıştır. Bu durumda etken olarak öncelikle aşağıdakilerden hangisi düşünülmelidir?,A,"Mikobakteriler, Nocardia, Rhodococcus sahip oldukları mi kolik asitleri sayesinde ARB (+) boyanırlar.",Nocardia asteroides,Actinomyces,Streptomyces,Haemophilus influenzae,Actinomadura,,tipakademi.json,
Penisiline allerjisi olan bakteriyel menenjitli bir hastada aşağıdaki antibiyotiklerden hangisi ilk tercih olmalıdır?,C,"Eritromisin ... Penisilin alerjisinde ve ati pik solunum yolu patojenlerinin tedavi/ profilaksile­ rinde karşımıza çıkar. Eritromisin, Makrolid grubu bir antibiyotik olup, bakteriyostatik etkilidir. Menenjit tedavisinde bakterisidal etkili antibiyotikler tercih edilmelidir. Kloramfenikol; Pnömokok, Meningokok ve Hib'e karşı bakterisidal etkilidir ve BOS'a çok iyi geçebilir. Bu nedenle bakteriyel menenjitlerde Penisilin alerjisi durumunda tercih edilir.",Eritromisin,Gentamisin,Kloramfenikol,Ampisilin,Sefaleksin,,tipakademi.json,
Aşağıdaki ilaçlardan hangisi menejitli bir hastada intravenöz verildiğinde diğerlerine oranla beyin omurilik sıvısına en az geçer?,C,,Ampisilin,Penisilin-G kristalize,Gentamisin,Kloramfenikol,izoniazid,,tipakademi.json,
Aşağıdaki antibiyotiklerden hangisinin membrandan geçişi enerji bağımlı bir süreç gerektirir?,C,"Aminoglikozidler'in membrandan geçişleri ATP ve Oksijen bağımlıdır. Etki spektrumları dar olup, gram negatif ve aerob enfeksiyonla­ rın tedavisinde kullanılırlar. Aynı zamanda Aminoglikozidler, postantibiyotik etki gösterirler. Yani plazmada seviyesi ölçülebilir değerin altına inmesine rağmen öldürücü etkisi devam eder. Temel olarak böbreklerden itrah edilirler. Bu nedenle dozları kreatinin klirensine göre ayaranmalıdır.",Beta-laktamlar,Kloramfenikol,Aminoglikozidler,Kinolonlar,Linkozamidler,,tipakademi.json,
Aşağıdaki antibiyotiklerden hangisi anaerob enfeksiyon tedavisinde tercih edilmez?,C,,Beta-laktamlar,Kloramfenikol,Aminoglikozidler,Kinolonlar,Linkozamidler,,tipakademi.json,
Aşağıdaki antibiyotiklerden hangisi gram pozitif enfeksiyonların tedavisinde tercih edilmez?,C,,Beta-laktamlar,Kloramfenikol,Aminoglikozidler,Kinolonlar,Linkozamidler,,tipakademi.json,
Aşağıdaki antibiyotiklerden hangisi dar spektrumludur?,C,,Beta-laktamlar,Kloramfenikol,Aminoglikozidler,Kinolonlar,Linkozamidler,,tipakademi.json,
"Bakteri, ürettiği adenilaz, fosforilaz ve asetil transferaz enzimleri ile aşağıdakiler­ den hangisine karşı direnç kazanır?",D,"Beta-laktamlar, Aminoglikozidler ve Kloramfenikol'de en sık direnç gelişimi inaktive edici enzimlerin sentezidir. İnaktive edici enzim Beta-laktamlar için Beta-Laktamaz; Aminoglikozidler ve Kloramfenikol için de Asetiltransferaz'dır. Sıklıkla Makrolid direnci 23 S rRNA'nın metilasyonu, Tetrasiklin direnci aktif effluks sistemi, Kinolon direnci de Topoizomeraz enziminde mutasyon ile meydana gelir.",Makrolidler,Beta laktam,Tetrasiklin,Aminoglikozit,Florokinolon,,tipakademi.json,
Streptococcus pneumoniae'da Penisilin ve türevlerine karşı oluşan dirençten sorumlu mekanizma aşağıdakilerden hangisidir?,D,,Beta laktamaz enzimi sentezi,Bakteri duvar geçirgenliğinin azalması,Bakteri sitoplazmik membran geçirgenliğinin azalması,Penisilin bağlayan proteinlerde yapısal değişiklik,Folik asit metabolizmasında değişiklik,,tipakademi.json,
Aşağıdaki bakterilerden hangisinde meydana gelen Penisilin direncinde Beta-laktamaz üretimi daha az önemlidir?,D,"Pnömokoklar'daki Penisilin'e direnç gelişim mekanizması PBP'de yapı değişikliğidir. Pnömokoklar, Beta-laktamaz üretmezler.",Staphylococcus aureus,Streptococcus pyogenes,Enterococcus faecalis,Streptococcus pneumoniae,Haemophilus influenzae,,tipakademi.json,
DNA giraz (topoizomeraz il) enziminde mutasyonla değişiklik olması sonucunda aşağıdaki ilaçlardan hangisine karşı direnç gelişmesi beklenir?,C,"Siprofloksasin, Kinolon grubu antibiyotik olup, Topoizomeraz il (DNA giraz) ve iV üzerinden etkinlik göstermektedir. Bu enzimlerde meydana gelen mutasyon bakteride Kinolon direncine neden olur. Streptomisin direnci 30 S rRNA'nın P12 reseptöründe değişiklikle meydana gelir. Rifampin direnci DNA bağımlı RNA polimeraz enzimindeki mutasyon ile meydana gelir. INH direnci Katalaz-Peroksidaz enzim inde mutasyonla meydana gelir. Tetrasiklin direnci aktif effluks sistemi ile meydana gelir.",Streptomisin,Rifampisin,Siprofloksasin,İzoniazid,Tetrasiklin,,tipakademi.json,
Aşağıdakilerden hangisi Streptomisin direncinden temel olarak sorumludur?,E,,ONA giraz enziminde mutasyon,DNA bağımlı RNA polimeraz enzim inde mutasyon,Katalaz-Peroksidaz enzim inde mutasyon,Aktiff effluks,P1 2 reseptöründe mutasyon,,tipakademi.json,
Aşağıdaki sefalosporinlerden hangisinin anaerobik bakterilere karşı etkinliği en fazladır?,D,"Sefoksitin, Sefotetan ... Anaerob etkinliği yüksek Sefalosporinler'dir.",Sefepim,Seftazidim,Sefazolin,Sefotetan,Sefoperazon,,tipakademi.json,
Miyopati ve Rabdomiyoliz aşağıdaki antimikrobiyal ilaçlardan hangisinin yan etkileri arasında yer alır?,C,"Zar üzerinden etkinlik gösteren lipopeptid yapıdaki antibiyotik ... Daptomisin Daptomisin yan tesir ... Miyopati, Rabdomiyoliz Pulmoner sürfaktan ile etkileşimi nedeni ile pnömoni tedavisinde kullanılmayan ... Daptomisin",Amoksisilin,Meropenem,Daptomisin,Seftriakson,Gentamisin,,tipakademi.json,
Hücre duvar öncüllerinin sitoplazmik membrandan transportunu inhibe eden antibiyotik hangisidir?,A,,Basitrasin,Fosfomisin,Vankomisin,Seftriakson,Gentamisin,,tipakademi.json,
Aşağıdaki antibiyotiklerden hangisi baktoprenolün yeniden kazanımını engeller?,A,,Basitrasin,Fosfomisin,Vankomisin,Seftriakson,Gentamisin,,tipakademi.json,
Aşağıdaki antibiyotiklerden hangisi hücre duvar öncüllerinin birbirine dönüşümünü inhibe eder?,B,,Basitrasin,Fosfomisin,Vankomisin,Seftriakson,Gentamisin,,tipakademi.json,
