soru,cevap,cevaplayan_unvan
Ben trafiği tehlikeye sokmaktan 1 ay 25 gün ceza aldım istinafa gönderdim orası cezamı onadı geçen hafta adliye gittim cezayı elden tebliğ aldım ordan bana açık cezaevine gidip teslim olmamı söylediler yatıp yatmıycağımın orda belli olur dediler acaba girdi çıktımı yaparım yoksa cezaevi kapısından içeri almadan denetimemi yollarlar birde girdi çıktı olursa kaç günde çıkarım lütfen bir cevap verirseniz çok sevinirim,"Merhaba, 6 yılın altındaki suçların genellikle yatarı bulunmamaktadır fakat burda önemli olan husus daha önceden herhangi bir kasıtlı suçtan sabıkanızın olup olmadığı .",Hukuk Bilgi Platformu
"Merhabalar, yıllar önce annem benim için kredi çekmişti. Bu kredisini ödeyebilmek için ise benden her ay maaşımdan 4.000tl vermemi talep etti, bunu da bir noterde tasdikledik, belge imzaladık. Bu kağıt üzerinde ayın kaçında, kaç ay boyunca ödeme yapacağım yazıyordu. Devam eden süreçte maaş kartımı annem kullanıyordu ve zaten beraber yaşadığımız için ben herhangi bir hesaba para aktarımında bulunmadım. Ancak annemle sorun yaşadık ve artık beraber yaşamıyoruz. Evden ayrılmadan önce iş tazminatım olan 60.000 TL tutarındaki parayı da kendisi çekti ve altın satın aldı tamamıyla. Bu durumu belgelendirebileceğim bir şey yok maalesef. Şu an konuyla ilgili bana dava açmak istiyor. Bu belgenin bahsettiğim konu özelinde iptali söz konusu olabilir mi? Ben karşı dava açsam kazanabilir miyim? Yardımcı olursanız çok sevinirim.","Merhaba, bu belgenin bahsettiğiniz konu özelinde iptalinin söz konusu olabilmesi için bu hususa ilişkin bir delilinizin olması gerekir.",Hukuk Bilgi Platformu
"Merhabalar, 5 yıldır düzenli kirasını ödediğimiz evden ev sahibimiz bizi çıkarmak istiyor. Kira artışları olmadan önce ev sizin istediğiniz kadar oturun ben sizden memnunum diyen ev sahibi son 1 yılda 45 ve 50 yaşındaki iki bekar çocuğunu oturtacağını bahane ederek bizim evden çıkmamızı talep etmekte ve sürekli her hafta telefonla arayıp bizi rahatsız ediyor. Evden çıkacağımızı ev arayışı içinde olduğumuzu söylememize rağmen sürekli arayıp dert yanıyor. Bebeğimiz olduğu için soğuk hava şartları ve artan zamlar sebebiyle taşınma durumumuz zorlaşıyor. Mahkemeye başvurup dava etsek mahkeme kimden yana olur? Psikolojik olarak evde huzurumuz kalmadı.","Merhaba, 6098 sayılı Borçlar Kanununa göre konut kira sözleşmelerinde kira artış oranının sınırlı olduğuna dair eklenen geçici madde 2 hükümleri uyarınca %25 lik kira artış oranı 1 temmuz 2024 e kadar uzatıldı yani kirayaveren bir önceki yılın kira bedelinin %25 inden fazla artış yapamayacaktır. İhtiyaç sebebiyle tahliye davası ise ancak ihtiyaç hususu kanıtlandığı takdirde kira sözleşmesini sona erdirerek kiracının taşınmazdan tahliyesini sağlamaktadır. Ve kirayaveren bakmakla yükümlü olduğu çocuklarının ihtiyacı için tahliye davası açabilir.Fakat bu noktada sizin bu durumu takip etmeniz gerekir. Yani gerçekten bir ihtiyaçsa ve kirayaverenin çocukları kalacaksa tahliye edilir ama eğer kirayaveren çocuklarım kalacak diyerek sizi çıkarıp evi başka birine kiralayacak olursa bunun maddi yaptırımı olacaktır. Kiralık konutu haksız yere tahliye edip başkasına kirayaveren mal sahibi, evden çıkardığı kiracısına en az bir yıllık kira bedelini tazminat olarak ödemek zorunda kalır. Ve sizi sürekli telefonla arayıp rahatsız ediyorsa bu hususu bir şikayet dilekçesi hazırlayarak ""Kişilerin huzur ve sükununu bozma"" suçundan savcılığa suç duyurusunda bulunabilirsiniz.",Hukuk Bilgi Platformu
3yildir aynı evde ikamet etmekteyim ev sahibi ev kirası için yüzde 300luk bir artış istiyor bizden tehtit yolu ile çıkartmaya çalışıyor kirası 1gun bile geciktirmedik ama 2500tl den 6000tl yapmak istiyor bunun için ne yapilabilir,"İyi Günler, 6098 sayılı Borçlar Kanununa göre konut kira sözleşmelerinde kira artış oranının sınırlı olduğuna dair eklenen geçici madde 2 hükümleri uyarınca %25 lik kira artış oranı 1 temmuz 2024 e kadar uzatıldı yani kirayaveren bir önceki yılın kira bedelinin %25 inden fazla artış yapamayacaktır. Eğer bu konuda size karşı tehdit yoluna gidiyor ise elinizdeki delillerle birlikte savcılığa suç duyurusunda bulunabilirsiniz.",Hukuk Bilgi Platformu
İyi çalışmalar geçtiğimiz ay internetten monitör satın aldım aşağı yukarı 50000 bandında nakit fiyatı vardı ben taksitle 57 bin liraya takabul eden(yaklaşık) bir ücrat ödeyeceğim. Bir haftanın sonunda ürünü 5000 türk lirası daha uygun fiyata buldum bir buçuk ay sonra ise 34000 lira peşin fiyata bulabiliyorum satın aldığım ürün bana faiş fiyata satılmış bu bir ayıp sayılırmı? Ben bu ürünü aldığım için maddi zarar yaşıyorum. İkinci eldeki ürünün değeride inanılmaz bir düşüş yaşadı. Ve bu olay fiyatlar yukarı çıkma eğilimindeyken yaşandı. Bu ayıptan ötürü dava açabilirmiyiz değerlendirebilir misiniz?,"İyi Günler, satın aldığınız bir ürünü iade edebilmeniz ,6502 sayılı Tüketicilerin Korunması Hakkında Kanun kapsamında size verilen haktır. Fakat tüketicilerin bu cayma hakkını kullanabilmesi için aldıkları ürünün tesliminden itibaren 14 gün içerisinde iade etmesi gerekir.",Hukuk Bilgi Platformu
"Merhaba, Miras dolayısıyla fazla sayıda hissedarı olan arsa/tarlalardaki hisselerimizi kardeşlerimle aramızda paylaşmak için dilekçe vereceğiz ancak, bazı tsşınmazlarda vergi dolayısıyla haciz varmış. Bizim kardeşler olarak vergi borcumuz yok. Tapudan terkin yapılabileceğini söylediler. Nereye başvuracağız? Online yapılır mı? Dilekçe ya da başvuru yazı örneği var mı? Teşekkürler","Merhaba, öncelikle elbirliği mülkiyetinin paylı mülkiyete çevrilmesi için yani arsa/tarlalardaki hisselerinizin kardeşlerinizle aranızda paylaşabilmek için Sulh Hukuk Mahkemesinde Ortaklığın giderilmesi davası açmanız gerekiyor ardından haciz için tapudan terkin yaptırabilirsiniz.",Hukuk Bilgi Platformu
"Merhaba, EYT 11.08.2023, tarihinde emekli olmaya hak kazandım. Ayrılacağım tarihi hem yöneticilerimle hem İK ile konuşarak, tüm sorumluluklarımı yerine getirerek 28.08.2023 tarihinde işten ayrıldım. (benden mail yoluyla talep edilen her türlü talep dilekçesi ve belgeleri zamanından önce imzalayarak teslim ettim) Vedalaşma gibi benim için önemli ayrıntıları önceden planlayarak hoş bir şekilde veda ettim. Son olarak, İK ile en son gün 28.08.2023 tarihinde ayrılmadan önce durumumu sorduğumda, “çıkış işlemlerinin yapılmadığı için sürecin tamamlanmadığı, ama tamamlanacağı “bir eksiklik varsa beni mutlaka arayacaklarını konuşacaklarını” söylediler. 1 Beni kimse aramadı. Kötü niyet aramadan, eminim ayrı bir yoğunluk oldu. Süreçler aksadı. Yazılı, sözlü iletişimde sıkıntı oldu. Burada benim hatamda İK’nın her türlü süreçte beni bilgilendireceği aşırı güveni, emin olmamdı. 2 İkincisi çıkış işlemimi SGK tarafından cep telefonuma gelen mesajda öğrendim. 31 Ağustos Perşembe 15:39 saatinde SGK’tan bilgi mesaj geldi. “SN.M…, 4A KAPSAMINDAKİ SİGORTALILIĞINIZ 08 Emeklilik (yaşlılık) veya toptan ödeme nedeniyle 28.08.2023 TARİHLİ İŞTEN AYRILIŞ BİLDİRİMİNİZ İŞVEREN TARAFINDAN YAPILMIŞTIR. SAĞLIKLI VE GÜVENLİ GÜNLER DİLERİZ.” 2023 Eylül Maaşımın başlaması için; Aynı gün 31 Ağustos kalan 1 saat 21 dakika” içinde mesai bitmeden sigortaya giderek (veya e-devlet ) ayrıca dilekçe talebi yapacağımı sehven bilmediğim için ilgili gün başvuru yapamadım. 3 Ekim 2023 tarihinde maaşımı kontrol için SGK gittiğimde, eksik bir başvuru talebi olduğunu öğrendim. Doldurdum. Teslim ettim. B-Gelinen son nokta; ? Kasım ayı kontrol ettiğimde 1 Kasım 2023 maaşımın bağlandığını, 2023 Eylül -2023 Ekim ayı maaşımı alamayacağımı öğrendim. ? SGK sorduğumda bunun olması için, “31 Ağustos 15,39 çıkış işlemi sonrası, mesai bitmeden ( 17 de mesai bitiyor kalan kısa sürede ) sigortaya giderek (veya e-devlet ) ayrıca dilekçe talebi vermem gerektiğini öğrendim. Burada kısaca olayı bir metaforla örneklendirirsek; Bir eve girmek için iki kapının anahtarı var. Birincisini açmadan, (çıkış işlemleri 1 anahtar ) ikincisini açamıyorsunuz… Sonuç; Taraflar olarak işyeri; İşyerimden aniden ayrılmadım. Planlı 1 gün öncesine eğitim toplantısı yaparak ayrıldığım halde, çıkış işlemlerini geç yaptığı, eksik bilgilendirme yüzünden Eylül-Ekim 2023 iki aylık maaşımı alamadığımı, çözüm için katkı beklediğimi yazılı olarak paylaştım. 1 ay oldu cevap alamadım. Not; Çözüm için bir faydası olur mu bilmiyorum, Taraflar olarak Devlet; EYT 11.08.2023, tarihinde emekli olmaya hak kazandığımı paylaşmıştım. 11 gün Askerlik borçlanması yaparak 31 Temmuz 2023 işten ayrılmak istedim, planladım.. (E Devlet üzerinden, 16 Haziran 2023 başvuru yaptım– 4 Eylül 2023 ödeyeceğim bilgisi geldi. Bir anlamı olmadı.Çok geç cevap geldi. Bu yüzden vazgeçtim. E Devlet Dys sorgulamada gözüküyor. Normal olarak EYT sürecine devam ettim. İstenildiğinde ayrıca paylaşabilirim. ) Bununla ilgilide Cimer’e yazdım. 1 ay oldu cevap alamadım. Sizin çözüm için vereceğiniz (adalet, doğruluk) katkıya, şimdiden minnettarım. Saygılarımla,","Merhaba, yaşamış olduğunuz sıkıntıyı yani çıkış işlemlerinizin geç yapıldığını ve eksik bilgilendirme sebebiyle iki aylık maaşınızı alamadığınızı belirterek ""alo 170"" Çalışma ve Sosyal Güvenlik Bilgi Hattını arayarak söz konusu durumu ihbar edebilirsiniz.",Hukuk Bilgi Platformu
Cezaevinde olan bir arkadaşımız boşanma aşamasında boşanacak olduğu kişinin avukatı cezaevi görüş listesini görebilir mi acaba dışarıdan birkaç arkadaşını da yazdırmak istiyor davalı olduğu kişinin avukatı cezaevi görüş listesini öğrenebilir mi bakma hakkı var mı bu konu da bilgi alabilir miyim ?,"Merhaba, davalı olduğu kişinin avukatı Kişisel Verileri Koruma Kanunu sebebiyle ikili ilişki olmadığı için cezaevi görüş listesini göremez fakat savcılık veya mahkeme aracılığı ile öğrenilmesini talep edebilir.",Hukuk Bilgi Platformu
"TRT´nin açtığı görevde yükselme sınavını kaybettiğim için açtığım davayı 2023 ocak ayında kazandım. şu ana kadar TRT sınav tekrarı yapmadı. (07.12.2023) Bunun için yasal bir süre var mıdır ? kolay gelsin, iyi günler","Merhaba, davayı kazandığınız için bu sizin için bir kazanılmış hak niteliğinde olup, süresinin geçmesi söz konusu olmayacaktır fakat sınav tekrarının ne zaman yapılacağına ilişkin olarak TRT ile iletişime geçmelisiniz.",Hukuk Bilgi Platformu
Apartman girişindeki aykırılıklar nedeniyle kanunun bana tanıdığı hak çerçevesinde kat maliki olarak yapı kayıt belgesi aldım ve bedeli olan 16.659.92 tl .ödedim.10 kat maliklerinden 5 malik kendi hisseleri oranında ödeme yaptı Odeme yapmayanlar için ilamsız icra takibi başlattım ve 5 kat maliki böyle bir borcumuz yoktur diye itiraz etti.itirazın kaldırılması için mahkemeye baş vuruda bulunacağım.İmar affı yasasına göre genel hükümler doğrultusuna diğer kat maliklerine rücü hakkım var ve bu bedelide bu malikler ödemek zorundalar.imar affına giren yer giriş katındaki aykırılıklar olup ortak alandır.Elimde yetkiki kurumlarca düzenlenmiş yapı kayıt belgesi ve bakanlık adına yaptığım ödeme makbuzu bulunuyor.bu belgelerin İ.İ.K 68 maddesi doğrultusunda uygun belgeler olduğunu düşünmekteyim.bu konudaki görüşlerinizin bidirilmesi hususunu rica ederim.Saygılarımla.,"Merhaba, kat malikleri aralarında başka türlü bir anlaşma yoksa ortak yerlerin bakım, koruma güçlendirme ve onarım giderlerine kendi arsa payları oranında katılmakla yükümlüdürler. Kat malikleri ortak yerler üzerindeki kullanma hakkından vazgeçerek veya kendi bağımsız bölümü nedeniyle bunlardan faydalanmaya lüzum ve ihtiyaç bulunmadığını ileri sürerek gideri ödemekten kaçınamazlar. İİK madde 68 e göre Resmi dairelerin veya yetkili makamların yetkileri dahilinde ve usulüne göre verdikleri belgeler alacaklının, itirazın kesin kaldırılmasını isteyebileceği belgelerdir.",Hukuk Bilgi Platformu
Merhaba ben internetten bir ürün sipariş ettim meğer merdiven altiymis firma bunu bilmiyordum şimdi o firmayı muhurlemisler banada ondan sipariş verdim diye 50 bin TL ceza kesmişler böyle birsey olabilirmi acaba,"Merhaba, internetten sipariş ettiğiniz ürün, suç unsuru ihtiva eden bir ürün değilse merdiven altı bir ürün olduğunu tüketici olarak bilmemeniz sebebiyle itiraz edebilirsiniz.",Hukuk Bilgi Platformu
"Merhaba biz binamızı kentsel dönüşüme sokmak İstiyoruz fakat binamız toprak tapulu kat mülkiyeti Tapumuz yok hisseli, biz bu binanın eski toprak Sahibiyiz mütahit binanın iskanını almadı 1997 Yapımı bir bina ve şöyle bir sorunumuz var mütahit Kendisine düşen daireleri satarken düşük pay vererek Satmış ve kendisine pay bırakmış nasıl bir yol İzlemeliyiz? Zaman aşımı olurmu?yoksa izalei şuyu Davasımı açmamız gerekiyor? Bilgi verirseniz sevinirim iyi çalışmalar.","Merhaba, sözleşmede iskanı kimin alacağı yazıyordur ona bakmalısınız. Ayrıca kendisine pay bıraktıysa sizin haklarınıza karşı hukuka aykırı olarak mütecaviz varsa bunun tespiti davasını açabilirsiniz.",Hukuk Bilgi Platformu
Eşimle Ağustos ayında evlendik.Ben öğretmenim o da emekli polis.Daha önceki evliliğinden 21 yaşında oğlu ve 28 yaşında kızı var.Benim de 12 yaşında oğlum var. İstemediğim halde 28 yaşındaki kizina maddi yardimda bulunması söz konusu her ay para yatırıyor. Kiz avukat ve çalışıyor. Ayrıca eşimin ailesi beni kabullenmiyor.Hala eski gelinlerini istiyorlar.Esim bensiz her pazar onları ziyaret ediyor ve ben dışlanmış hissediyorum Bunlar haklı bosanma sebebi midir,"Merhaba, eşlerin birbirlerini, gerek akraba gerekse diğer üçüncü kişilerin mevcut ya da muhtemel haksız davranış ve tutumlarına karşı koruması, kollaması ve bu yönde elinden geleni yapması ""başkalarına karşı koruma yükümlülüğü"" olarak Yargıtay tarafından bir yükümlülük olarak kabul edilmektedir. Ve söz konusu sizin durumunuzda ise; eşinizin ailesinin sizi kabullenmiyor olması, hala eski gelinlerini istemeleri ve bunu size yansıtarak sizi dışlamaları bir duygusal şiddet olup bu noktada eşiniz eğer bu duruma sessiz kalıyorsa ""başkalarına karşı koruma yükümlülüğünü ""nü ihlal etmiş olur. Bu da bir boşanma sebebidir.",Hukuk Bilgi Platformu
Geçen yıl 5 yıl doldu 1850 TL olan kira 4750 TL yaptı ev sahibi.bu yıl kira 12000 olacak dedi.ben kabul etmedim mahkeme ye ver dedim.sonuc ne olur.tesekkurler,"Merhaba, 6098 sayılı Borçlar Kanununa göre konut kira sözleşmelerinde kira artış oranının sınırlı olduğuna dair eklenen geçici madde 2 hükümleri uyarınca %25 lik kira artış oranı 1 temmuz 2024 e kadar uzatıldı yani kiraya veren bir önceki yılın kira bedelinin %25 inden fazla artış yapamayacaktır. Fakat kiraya verenin Kira Tespit Davası açması sonucunda; Beş yıldan uzun süreli veya beş yıllık kira döneminin sonunda yenilenen kira sözleşmelerinde taraflar arasında kira bedeli artış oranı hususunda herhangi bir anlaşma olup olmamasına bakılmaksızın sözleşmenin başlangıç tarihinden itibaren beş yıllık sürenin sonunda yenilenen veya beş yıldan uzun süreli kira sözleşmelerin de: Türk Borçlar Kanunu 344.maddenin 3.fıkrası uyarınca yeni kira yılında uygulanacak kira bedeli hakim tarafından olağan rayiç, emsal kira bedelleri, taşınmazın durumu ve tüketici fiyat endeksindeki 12 aylık ortalamalara göre değişim oranı da dikkate alınarak hakkaniyete uygun şekilde tespit edilecektir.",Hukuk Bilgi Platformu
"Çalıştığım firmada iş kazası geçirdim.Sigortam yoktu.Olay esnasında el bileğim kırıldı,olay yerine ambulans çağrılmadı,kolluk kuvvetlerine haber verilmedi konu hakkında 30 günlük rapor aldım aireten görgü şahidim ve kanıtlarım mevcut.Şirket şikayetçi olmamam için (gönlünü alırız maddi destekde bulunuruz) şeklinde söylemlerde bulundu.Şikayet etmem durumunda büyük bir şirketin kaybı ne olur","Merhaba, Sigortasız işçi çalıştırılması durumunu şikayet ettiğiniz takdirde; 5510 sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanununda düzenlenen idari para cezasına hükmedilir.",Hukuk Bilgi Platformu
