soru,tarih,cevap
Meraba 08.08.23 de eşimle evlendim ve14.04.2024 tarihine kadar beraber yasadık ve 14.04.2024 de tartısma yüzünden baba evine döndü eşim ve de dava açılacak ve biz altınlar ile eşimin rızası ile araba almıştık ben bunları geriye iade edeceğim mi etmeyeceğim mi bunu bana açıklarmısınız zorla ya da başka bi şekilde değil ikimizin rızası ile araba aldık araba benim üstüme ben bunları iade etmek zorundamıyım ?,5/1/2024 9:38:45 PM,"Merhaba. Düğün takıları yerleşik Yargıtay içtihatları kapsamında kadın tarafa aittir. Rızasıyla ortak araba almış olsanız dahi, açılacak boşanma davasında altınları talep etmesi halinde mahkeme kadın lehine karar verecektir."
"1,5 yıllık iş yerimden çıkarıldım ve iş veren yani patron tazminatimi vermeyeceğini söyledi ben hukuki dava açmak istiyorum kazanabilirmiyim",5/1/2024 9:26:14 PM,Merhaba. Tabi ki kazanabilirsiniz. Bizimle iletişime geçmeniz halinde işten çıkış gerekçeniz ve hak edişlerinizi değerlendirerek arabuluculuk ve dava süreçlerinizi takip edebiliriz.
Merhaba. 1970 yılında dedemin vefatından sonra çocuklara miras kalan tarlaya 1993 yılında devlet kamulaştırma şerhi koymuş. Tapuyu biz 2024 de intikal ettirdiğimizde öğrendik fakat biz o yıllarda da devletten bir ödeme almamışlar ne yapmamız gerekiyor ?,5/1/2024 5:45:51 PM,"Merhaba. Miras kalan taşınmazın kamulaştırılması ve bedelin ödememesi nedeniyle ""kamulaştırmasız el atma"" davası açılması gerekmektedir. Bizimle iletişime geçmeniz halinde süreci sizin adınıza takip edebiliriz."
3yil önce yurtdisinda birine telefon aldım parasını hala ödemedi adini soy adını ve telefon numarasını biliyorum bu şahıstan nasıl parayı tahsil edebiliriz,5/1/2024 5:32:44 PM,Merhaba. İlgili kişi hakkında icra takibi yoluyla paranızın tahsili yoluna gidebilirsiniz.
Merhaba benim evkura olan borcum bitti ama e devlette gözüküyor ve icra dairesine gitmem gerektiğini söylediler oraya gittiğim zaman benden ücret talep ederlermi,5/1/2024 4:47:17 PM,Merhaba. İcra dairesine gidip borcunuzun bittiğini ve icra dosyasının kapatılmasını talep ediniz. Sizden ayrıca para talep edilmeyecektir.
yurtta ortak alanda eşyasını bırakmış ve zarar verdiğime dair tutanak tutuldu ve argo kelime kullanmadığım halde yine tutanak tutuldu buna karşılık savunma kağıdımı nasıl yazmalıyım,4/30/2024 1:43:53 PM,Merhaba. Savunmanızda bahsettiğiniz şekliyle atılı eylemi işlemediğinizi belirtmeli ve yazacağınız savunma dilekçesinde Resmi Yazışmalarda Uygulanacak Usul ve Esaslar Hakkında Yönetmelik hükümlerine uygun savunma yazmalısınız.
İyi gunler. Soylu avm ye taksitlerim vardı. Bikac aydir odeme yapamadim. Bugun 4 e kadar su kadar odeme yapilmazsa icra takibine alinacaksiniz dediler. İcraya alirlarsa avukatlik vs ucreti de sanirim istiyorlar. Ancak benim bu avukatlik vs borcunu odeme zorunlulugum varmı acaba ? Esas borçtan kaynaklı faiz vs tamam ama avukatlık ücreti ekstra bir yük. Onu odeyebilecek olsam zaten esas borcumu öderdim.,4/30/2024 12:46:14 PM,"Merhaba. Bir kişi veya kuruma olan borcunuzu ödememeniz halinde hakkınızda icra takibi yapılırsa, icra takip masrafları ve vekalet ücretinden de sorumlu olursunuz."
Yeni kimlik kartımı ptt kargosu bana haber vermeden hiç tanımadığım birine verdiğini söylüyor sitesinde öyle gözüküyor ve ben yaklaşık 4 gündür kargo şirketi arıyorum acan kimse yok ve kimlik kartımda yok bu şirketle alakalı hukuki bir dava acabilirmiyim,4/30/2024 8:04:08 AM,"Merhaba. Yaşamış olduğunuz mağduriyetle ilgili suç duyurusunda bulunabilir, şirkete karşı tazminat davası açabilirsiniz."
Merhaba ben kirada oturuyordum iş sebebiyle başka bir şehire taşındım evden çıkmak istiyorum sözleşmeden dolayı ev sahibi çıkamazsın diyor kira da ödemek istemiyorum ne yapmam lazım,4/29/2024 1:23:52 PM,Merhaba. İş değişikliği sebebiyle kira sözleşmenizi haklı olarak feshedebilirsiniz. Ev sahibinizin kontrat sonuna kadar kirayı talep etme hakkı yoktur. Ancak evi başkasına kiralayana kadar belli şartlar dahilinde uğradığı zararları talep edebilecektir.
Ben 2022 yılında iş yerini mahkemeye verdim. Mesailerimi ve tazminatlarımı alacağım zaman verdiğim tarih üzerinden mi hesaplanacak yoksa mahkemenin bittiği yıl üzerinden mi?,4/29/2024 10:10:00 AM,Merhaba. Mesailerinize hakediş tarihinden itibaren faiz uygulanır. Diğer tazminat kalemlerine ise hak ediş tarihinden itibaren faiz uygulanacaktır.
2022 yılında bankaya borcumu odeyemedigim için icraya düştü maaşımdan icra kesintisi oldu işten çıktım evlendim haciz hangi adrese gider ailemle yaşadığım adrese mi yoksa eşimle yaşadığım adrese mi gelir,4/29/2024 5:10:37 AM,"Merhaba. Borcun kaynağı olan ilişki tarihindeki adrese tebligat yapılabileceği gibi, mernis adresinize de tebligat yapılabilir."
Ben serbest çalışıyorum sıhhi tesisat kalorifer ustayim kişi ve müteahhit firmalardan sözlü olarak anlaşma yaptığımız kişilerden paramı nasıl alabilirim dava açabilirmiyim,4/29/2024 2:49:25 AM,Merhaba. Sözlü olarak yaptığınız anlaşma kapsamında yaptığınız iş karşılığı ücret talep hakkınız vardır. Ancak bu ilişkide karşı tarafın borcu ödememesi halinde yaptığınız işi ispatlamanız gerekecektir.
Esim benim adıma lokanta açtı. Ama kendi islettı senin bagkurunu yatırrız dedı ama bır gun bile yatırmadı. Uzerime zorla kredi çektirdi. Simdi bosanıyoruz beni tehdit ediyor evden arabadan vazgeç yoksa beni sigortasız calıstırdı diye skayet ederim diye. Kredıyıde ustume yıkacakmıs bolebısey olabılırmı ceza alabılırmıyım,4/29/2024 2:28:04 AM,Merhaba. Yaptığınız işlemde bir çok hukuka aykırı yön bulunduğundan süreçte mağduriyet yaşayabilirsiniz. Hukuki destek almanızı tavsiye ederiz. Bizimle iletişime geçebilirsiniz.
"SN MÜSTEKI, YASAL OLMAYAN AJANSTAKI KAYIT ISLEMINIZI TAMAMLADIGINIZ ICIN BASVURUNUZUN IPTALI TALEBE ALINMISTIR.MOBIL SOZLESMENIZ DOGRULTUSUNDA 3849TL ANA UCRET AVUKAT MASRAFI VE TEMERRUT FAIZI ILE BIRLIKTE 17.850 TL TUTARINDAKI ODEMENIZI IKAMETGAH ADRESINIZE GELICEK TEBLIG ZARFI ILE BIRLIKTE TARAF AVUKATINIZ ILE BERABER 21.ASLIYE / 7 KALEM BIRIMINDEN BILGI ALIP ODEMENIZ GEREKMEKTEDIR.DETAYLI BILGI VE UZLASMA ICIN ARAYINIZ.B016(DOLANDIRICI MI PARA VERMELİMİYİM BENİM ÖYLE SİTELERLE İŞİM OLMAZ YAŞIM TUTMUYO BİLE TEBLİG GELİR Mİ :( )",4/29/2024 1:22:33 AM,Merhaba. Bu şekilde size tebligat yapılmaz. Muhtemelen bu şekilde dolandırıcılık eyleminde bulunmak ve sizden menfaat temin etmek isteyen kişilerin uyguladığı bir yöntem. İtibar etmemenizi tavsiye ederiz.
"Şubat-2024 ayının 20'si sonrasında Trabzon Çukurçayır mah. Barbaros cad üzerindeki VADİKENT 1. kısım Sitkesi -B- blokta bulunan SAĞIMSIZ BÖLÜM'deki işyerimi yaşlılık nedeniyle kapatarak konuta dönüştürdüğümü, bunu yaparken de hiçbir kırma-yıkma ve yeni imalat yapılmadığı, basit tamirat ve boya-badana ile yetinildiğini bildirmiş; KONUT TAPUSUNA nasıl başvuracağımı sormuştum. Mesajımda (1962-İTÜ-İNŞAAT fak) mezunu Y. Mühendis olduğumu da -muhtemelen- belirtmiştim. Ama bugüne kadar bana dönüş yapmadınız. Nedenini öğrenebilir miyim?",4/29/2024 12:36:40 AM,Merhabalar. Sitemizde yapılan yıllık bakım çalışmaları nedeniyle bir kısım sorulara cevap verilmemiş olabilir. Konut tapusuna başvurma sürecinizle ilgili olarak; öncelikle bina genel kurulunda konunun görüşülüp karara bağlanması sonrasında belediye müracaatınız ile süreç devam edecektir. Süreci profesyonel destekle yürütmenizi tavsiye ederiz.
Sevgimle ayrildik ve bana bu zamana kadar harcadigi tum parayi geri istiyor vermezsemde beni aileme soylemekle tehhit ediyor sizce ne yapabilirim,4/28/2024 10:57:22 PM,Merhaba. Eski sevgiliniz hakkında şantaj nedeniyle şikayette bulunabilirsiniz.
Merhaba birkaç gün önce işyerinden çıkarıldım oradaki bir kişiyle tartıştık karşıdaki kişinin beni tahrik etmesi üzerine sadece tek küfürlü bir söz çıktı ağzımdan ama kadın tutanakta bir sürü küfür ve hakaret içeren sözler söylediğimi bildirmiş çalıştığım şirket benim söylediklerimi değilde o kadının söylediklerini dikkate alarak beni bir anda haber bile vermeden işten çıkardılar tazminatda vermeyeceklerini söylüyorlar sizce ne yapmalıyım tazminat almak için veya işe iade davası açsam kazanırmıyım,4/28/2024 9:43:13 PM,Merhaba. İşe iade ve tazminat davasıyla ilgili profesyonel destek almanızı tavsiye ederim. Bizimle iletişime geçmeniz halinde yardımcı olabiliriz.
İyi günler merhaba ben yurt dışında yaşıyorum hakkımda yapılan sosyal medya saldırısı için vekâlet verip siber suçlara suç duyurusunda bulunmak istiyorum bana yardımcı olur musunuz?,4/28/2024 9:03:26 PM,Merhaba. Bizimle iletişime geçmeniz halinde size destek olabiliriz. Süreçte yapacağımız suç duyurusu ile size karşı gerçekleştirilen eylemin faillerinin bulunup cezalandırılması sağlanabilir.
Benim babam vefat etti babamın mirasından ben ölünce ikinci eşim hak talep edebiliyor mu.rica etsem bilgilendirilmiş şimdiden teşekkürler,4/28/2024 4:55:09 PM,Merhaba. Ölümünüz halinde resmi eşiniz sizin malvarlığınızdan miras payı alabilir. İkinci eş tabirini tam olarak anlamamakla birlikte resmi nikahlı eşiniz dışında bir kişi hukuken eşiniz değildir.
Aracımı arkadasin sirketi uzerine yaptım. Bir zaman sonra şirkete haciz gelmiş ben sonra ogrendim. Arac şuan hacizli. Şirketin bana 1 milyon borcu var elimde senet var. Birde aracım var alacagim. Nasıl olur Aracımı alırım paradan vazgeçtim,4/25/2024 2:18:31 AM,Merhaba. Şirketle aranızda bir sözleşme veya araç satım sözleşmesi yoksa aracı almanız mümkün değildir. Alacağınız ile ilgili icra takibine geçip icra sırasına girmenizi tavsiye ederiz.
"Benim 25,25 olmak üzere iki tane hisseli dairem vardı dön kattı bende kaçak birde çatı katı yaptım ve abone olup şu elektirik gaz çektim sonra iki daireyi vekalet vererek satım 16 yıl sonra çatı katının da 12 hissesi olduğunu öğrendim bu nasıl olmuş oka bilir",4/25/2024 12:54:22 AM,Merhaba. Detaylı bilgi için yüz yüze görüşerek bilgilendirilmemiz gerekmektedir. Bizimle iletişime geçebilirsiniz.
Merhaba iyi akşamlar benim banka borçlarım var farklı farklı bankalara odemeyemiyorum evime haciz gelme durumu olabilir ama herhangi bi yazı gelmedi daha şimdi ben kendi ailemle yaşadığım evden anne baba evine ikametgah aldırsam anne baba evine haciz gelirmi ve bana herhangi bi icra kagiti gelmediği için gerekli yerlere bildirim yapmam gerekirmi ikametgah ile ilgili,4/24/2024 10:21:07 PM,Merhaba. Adresinizi değiştirseniz dahi icra tehditinden kurtulamazsınız. İcra kağıdı (ödeme emri) gelmeden bildirim yapmanıza gerek yok ancak ödeme emri tebliği yapıldıktan sonra mal beyanında bulunmanız gerekmektedir.
serbest denetimligine alinmis bi tanigim var kamu yararina calistirma karari verildi sigortali bi ise girip evraklarini denetim müdürlüğüne teslim ettikten bi kac gun sonra isten çıkarsa tekrar cagirilip kamu yararina ise alinir mi detayli bilgi verirseniz sevinirim,4/24/2024 9:44:58 PM,Merhaba. Sigortalı işte çalışmanız halinde Denetimli Serbestlik Müdürlükleri kamu yararına iş ataması yapmamaktadır. Ancak işinize son verilmesi halinde tekrar kamu yararına iş ataması yapılacaktır. Evraklarınızı takip etmenizi ve ihlal almamanızı tavsiye ederiz.
Mrb benim bir sorum olacak anne baba sağ 2 takım evi var ve evlı olan kız kardeşi erkek kardeşi babasının evinden çıkara bilirmi,4/24/2024 7:48:39 PM,Merhaba. Miras malı olarak kullanılan evde paydaşlar birbirlerini evden çıkaramazlar ancak paylarına ilişkin kira bedelini talep edebilirler.
Merhaba benim bankalara Kredi kartı borcum var icraya düştüm 2000 model eski bir aracim var ve zaten aracımın üzerinde eskiden hak mahremiyeti var banka araca yakalanma çıkarır mı çıkarsa aracın fiyatı kendi alacağı ba bile yetmiyor sizce ne olur daha önce de benim bankaya borcum vardı ama hiç yakalanma çıkarmamış ti bankalar,4/24/2024 7:26:28 PM,"Merhaba. Alacaklı kişi veya kurumun sizin tüm malvarlığınıza haciz koydurma, satış isteme gibi hakları vardır. Süreç içerisinde aracınızın haczini ve satışını isteyebilirler."
Banka 19.12.2023 de vefat işlemleri ile uğraşırken unuttuğumuz kart borcundan dolayı icra dairesine başvurup icra dosyası açtırmış bizde itiraz edip durdurduk. Bugün 24.04.2024 ve ptt den ihtarname geldi. 01.09.2023 - 16.04.2024 arası taksitleriniz ödenmemiştir 30 gün içinde ödeyin diye. Bu borç zaten icra dairesinde. Gönderdikleri ihtarname yasal mıdır ? Bu ihtarname için ne yapılabilir ? Çok teşekkür ederim simdiden.,4/24/2024 2:36:26 PM,Merhaba. İcra dosyalarını ve ihtarnameyi görmeden net bir cevap vermemiz mümkün değildir. Bu belgelerle müracaatınız halinde size yardımcı olabiliriz.
